Gemeente,Totaal misdrijven_2018,Totaal misdrijven_2019,Totaal misdrijven,Totaal misdrijven_2021,Totaal misdrijven_2022
Terschelling,232,176,145,168,147
Texel,402,440,403,447,455
Teylingen,1 073,1 211,1 313,1 046,1 238
Tholen,535,596,727,639,628
Tiel,2 005,2 550,2 345,2 116,2 019
Tilburg,12 763,13 022,12 995,12 814,14 060
Tubbergen,315,316,317,307,345
Twenterand,743,711,848,813,866
Tynaarlo,784,849,945,877,770
Tytsjerksteradiel,620,657,694,705,632
Uitgeest,379,365,441,437,442
Uithoorn,898,997,1 129,985,909
Urk,407,399,584,567,437
Utrecht,26 458,26 791,24 285,21 766,24 070
Utrechtse Heuvelrug,1 401,1 509,1 733,1 596,1 533
Vaals,341,434,330,313,323
Valkenburg aan de Geul,777,821,737,708,848
Valkenswaard,1 085,1 137,1 296,1 226,1 174
Veendam,1 013,1 061,1 031,1 028,923
Veenendaal,2 701,2 598,2 541,2 575,2 217
Veere,590,524,633,554,622
Veldhoven,1 328,1 487,1 659,1 488,1 571
Velsen,2 441,2 487,2 735,2 704,2 735
Venlo,5 783,5 757,5 951,5 605,5 934
Venray,1 624,1 671,1 730,1 672,1 977
Vijfheerenlanden,1 676,1 639,1 816,1 818,1 619
Vlaardingen,3 740,3 810,4 235,3 892,3 836
Vlieland,54,46,47,79,72
Vlissingen,1 886,1 931,2 280,1 982,2 063
Voerendaal,345,326,287,305,303
Voorschoten,734,709,787,769,737
Voorst,597,705,803,697,851
Vught,1 060,953,1 107,1 013,994
Waadhoeke,1 082,1 264,1 176,1 079,1 052
Waalre,517,519,588,554,556
Waalwijk,1 712,1 846,1 967,1 893,1 737
Waddinxveen,841,939,1 160,1 002,951
Wageningen,1 267,1 238,1 448,1 196,1 308
Wassenaar,890,956,1 056,1 021,1 123
Waterland,377,385,418,436,479
Weert,2 242,2 454,2 343,2 003,2 147
Weesp,716,663,726,706,775
West Betuwe,1 446,1 431,1 809,1 749,1 695
West Maas en Waal,431,520,485,471,455
Westerkwartier,1 223,1 296,1 495,1 432,1 409
Westerveld,361,394,416,388,315
Westervoort,448,445,480,444,430
Westerwolde,1 037,949,967,1 034,1 163
Westland,3 706,4 204,4 396,3 958,4 286
Weststellingwerf,712,832,776,641,648
Westvoorne,515,463,477,397,429
Wierden,489,550,497,477,708
Wijchen,1 234,1 327,1 328,1 449,1 415
Wijdemeren,641,654,724,703,609
Wijk bij Duurstede,459,447,630,532,431
Winterswijk,810,996,1 072,1 071,1 191
Woensdrecht,684,688,741,780,701
Woerden,1 916,1 772,2 007,1 988,1 987
De Wolden,418,453,509,480,460
Wormerland,362,395,450,397,428
Woudenberg,324,320,431,359,380
Zaanstad,6 366,6 992,6 966,6 649,6 951
Zaltbommel,1 021,1 047,1 262,1 180,1 158
Zandvoort,956,1 005,1 111,1 086,1 191
Zeewolde,709,754,800,786,756
Zeist,2 705,2 888,2 920,2 645,2 423
Zevenaar,1 086,1 267,1 338,1 293,1 314
Zoetermeer,5 508,5 889,5 593,5 354,5 820
Zoeterwoude,192,226,250,276,263
Zuidplas,1 377,1 590,1 677,1 522,1 527
Zundert,572,552,649,625,655
Zutphen,2 230,2 626,2 446,2 279,2 557
Zwartewaterland,456,474,466,500,513
Zwijndrecht,1 789,1 700,1 598,1 423,1 591
Zwolle,6 167,6 311,6 447,6 765,6 842
